# Parameters for Flexible Demand Model 
## Central Demand
param FD := 1 17.67
            2 16.02
            3 15.21
            4 14.75
            5 14.6
            6 15.19
            7 17.8
            8 21.74
            9 24.36
            10 25.82
            11 26.84
            12 27.28
            13 27.74
            14 28.54
            15 28.07
            16 26.9
            17 25.91
            18 25.44
            19 25.17
            20 26.29
            21 26.29
            22 24.49
            23 21.66
            24 19.48
; 
 
## Lower Bound on Flexible Demand 
param FD_L := 1 14.13
            2 12.81
            3 12.17
            4 11.8
            5 11.68
            6 12.15
            7 14.24
            8 17.39
            9 19.49
            10 20.66
            11 21.47
            12 21.82
            13 22.19
            14 22.84
            15 22.45
            16 21.52
            17 20.73
            18 20.35
            19 20.13
            20 21.03
            21 21.03
            22 19.6
            23 17.32
            24 15.58
; 
 
## Upper Bound on Flexible Demand 
param FD_U := 1 21.2
            2 19.22
            3 18.25
            4 17.7
            5 17.51
            6 18.23
            7 21.36
            8 26.09
            9 29.23
            10 30.99
            11 32.2
            12 32.73
            13 33.28
            14 34.25
            15 33.68
            16 32.28
            17 31.09
            18 30.52
            19 30.2
            20 31.55
            21 31.55
            22 29.39
            23 25.99
            24 23.37
; 
 
## Upper Bound on Upwards Reserve Provided by Flexible Demand 
param RUFD := 1 7.07
            2 6.41
            3 6.08
            4 5.9
            5 5.84
            6 6.08
            7 7.12
            8 8.7
            9 9.74
            10 10.33
            11 10.73
            12 10.91
            13 11.09
            14 11.42
            15 11.23
            16 10.76
            17 10.36
            18 10.17
            19 10.07
            20 10.52
            21 10.52
            22 9.8
            23 8.66
            24 7.79
; 
 
## Upper Bound on Downwards Reserve Provided by Flexible Demand 
param RDFD := 1 42.4
            2 38.44
            3 36.5
            4 35.41
            5 35.03
            6 36.45
            7 42.72
            8 52.17
            9 58.46
            10 61.97
            11 64.41
            12 65.47
            13 66.56
            14 68.51
            15 67.36
            16 64.56
            17 62.18
            18 61.04
            19 60.4
            20 63.1
            21 63.09
            22 58.79
            23 51.97
            24 46.75
; 
 
## Number nFI of time intervals in which a certain fraction of the demand has to be met (card(set F)) 
param nFI := 2; 
 
## First time step of interval f in FI 
param TF_L :=   1 7 
                2 18
; 
 
## Last time step of interval f in FI
param TF_U :=   1 9 
                2 22
; 
 
## Fraction of central demand that needs to be met during interval f in FI 
param coef_FD :=    1 1 
                    2 1
; 
 
## Cost per unit of flexible demand activated [EUR]
param C_FD := 1; 
