# Parameters for Flexible Demand Model 
## Central Demand
param FD := 1 25.06
            2 21.46
            3 20.09
            4 19.48
            5 19.76
            6 21.72
            7 26.07
            8 29.35
            9 34.88
            10 39.44
            11 39.44
            12 40.03
            13 41.1
            14 40.32
            15 39.74
            16 37.79
            17 37.28
            18 37.49
            19 38.3
            20 38.31
            21 38.54
            22 35.36
            23 30.55
            24 27.67
; 
 
## Lower Bound on Flexible Demand 
param FD_L := 1 20.05
            2 17.17
            3 16.07
            4 15.59
            5 15.81
            6 17.38
            7 20.85
            8 23.48
            9 27.91
            10 31.56
            11 31.55
            12 32.02
            13 32.88
            14 32.25
            15 31.79
            16 30.23
            17 29.83
            18 29.99
            19 30.64
            20 30.65
            21 30.83
            22 28.28
            23 24.44
            24 22.14
; 
 
## Upper Bound on Flexible Demand 
param FD_U := 1 30.08
            2 25.76
            3 24.11
            4 23.38
            5 23.72
            6 26.07
            7 31.28
            8 35.22
            9 41.86
            10 47.33
            11 47.33
            12 48.03
            13 49.32
            14 48.38
            15 47.69
            16 45.35
            17 44.74
            18 44.98
            19 45.96
            20 45.98
            21 46.25
            22 42.43
            23 36.66
            24 33.21
; 
 
## Upper Bound on Upwards Reserve Provided by Flexible Demand 
param RUFD := 1 10.03
            2 8.59
            3 8.04
            4 7.79
            5 7.91
            6 8.69
            7 10.43
            8 11.74
            9 13.95
            10 15.78
            11 15.78
            12 16.01
            13 16.44
            14 16.13
            15 15.9
            16 15.12
            17 14.91
            18 14.99
            19 15.32
            20 15.33
            21 15.42
            22 14.14
            23 12.22
            24 11.07
; 
 
## Upper Bound on Downwards Reserve Provided by Flexible Demand 
param RDFD := 1 60.16
            2 51.52
            3 48.21
            4 46.76
            5 47.44
            6 52.14
            7 62.56
            8 70.44
            9 83.72
            10 94.67
            11 94.66
            12 96.07
            13 98.64
            14 96.76
            15 95.37
            16 90.7
            17 89.48
            18 89.97
            19 91.92
            20 91.95
            21 92.5
            22 84.85
            23 73.32
            24 66.42
; 
 
## Number nFI of time intervals in which a certain fraction of the demand has to be met (card(set F)) 
param nFI := 2; 
 
## First time step of interval f in FI 
param TF_L :=   1 7 
                2 18
; 
 
## Last time step of interval f in FI
param TF_U :=   1 9 
                2 22
; 
 
## Fraction of central demand that needs to be met during interval f in FI 
param coef_FD :=    1 1 
                    2 1
; 
 
## Cost per unit of flexible demand activated [EUR]
param C_FD := 1; 
